Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
36Cl,0,53.0x10  y,2+,+1.28547(5),,,[2H],N,1955So10,PR 98 1316 (55)
37Cl,0,stable,3/2+,+0.6841236(4),,,[2H],N,1972Bl07,ZNat 27a 72 (72)
38Cl,0,37.3 m,2-,2.05(2),,,,β-NMR,1972La22,ZP 252 242 (72)
44Cl,0,0.56 s,(2-),(-)0.2749(2),,,,β-NMR,2010DE11,PR C81 034308 (10)
33Ar,0,0.174 s,1/2+,-0.723(6),,,[37Ar],CFBLS/β-NMR,1996Kl04,NP A607 1 (96)
35Ar,0,1.78s,3/2+,+0.6322(2),,,,β-NMR,2002Ma41,NP A701 383c (02)
36Ar,1970,0.45 ps,2+,+1.0(4),,,,TF,2006SP01,PL B632 207 (2006)
38Ar,2167,0.49 ps,2+,+0.5(2),,,,TF,2006SP01,PL B632 207 (2006)
39Ar,0,269 y,7/2-,-1.588(15),,,[37Ar],CFBLS/β-NMR,1996Kl04,NP A607 1 (96)
40Ar,1461,1.12 ps,2+,-0.04(6),,,,TF,2008SP04,PR C78 017304 (08)
41Ar,0,1.82 h,7/2-,-1.309(8),,,[39Ar],CFBLS,2008BL01,NP A799 30 (2008)
43Ar,0,5.37 m,5/2-,-1.021(6),,,,CFBLS,2008BL01,NP A799 30 (2008)
35K,0,178 ms,3/2+,0.392(7),,,,β-NMR,2006ME04,PR C73 024318 (06)
36K,0,0.34 s,2+,(+)0.548(1),,,[39K],OP/RD,1975Sc20,NP A246 187 (75)
37K,0,1.23 s,3/2+,+0.20321(6),,,,OP/RD,1971Vo03,ZP 244 44 (71)
38K,0,7.61 m,3+,+1.371(6),,,[39K],"AB, R",1982To02,PL 108B 169 (82)
39K,0,stable,3/2+,+0.39147(3),,,,ABLS,1993Du08,NIMPR A325 465 (93)
40K,0,1.3x10*9y,4-,-1.298100(3),,,[2H],N,1974Sa24,ZNat 29a 1754 (74)
41K,0,stable,3/2+,+0.2148701(2),,,,AB/D,1974Be50,ZP 270 173 (74)
42K,0,12.36 h,2-,-1.1425(6),,,,AB/D,1969Ch20/1973CoZG,PR 184 1102 (69)/BAPS 18 727 (73)
43K,0,22.3 h,3/2+,+0.1633(8),,,[39K),"ABLS, R",1982To02/1982Du06,PL 108B 169 (82)/JPPa 43 509 (82)
44K,0,22.1 m,2-,-0.856(4),,,[39K],"ABLS, R",1982To02/1982Du06,PL 108B 169 (82)/JPPa 43 509 (82)
